no;NFET
no;ÞFET
no;ÞGFET
no;EFET
no;NFETgr
no;ÞFETgr
no;ÞGFETgr
no;EFETgr
no;NFFT
no;ÞFFT
no;ÞGFFT
no;EFFT
no;NFFTgr
no;ÞFFTgr
no;ÞGFFTgr
no;EFFTgr
kk;NFET
kk;ÞFET
kk;ÞGFET
kk;EFET
kk;NFETgr
kk;ÞFETgr
kk;ÞGFETgr
kk;EFETgr
kk;NFFT
kk;ÞFFT
kk;ÞGFFT
kk;EFFT
kk;NFFTgr
kk;ÞFFTgr
kk;ÞGFFTgr
kk;EFFTgr
kvk;NFET
kvk;ÞFET
kvk;ÞGFET
kvk;EFET
kvk;NFETgr
kvk;ÞFETgr
kvk;ÞGFETgr
kvk;EFETgr
kvk;NFFT
kvk;ÞFFT
kvk;ÞGFFT
kvk;EFFT
kvk;NFFTgr
kvk;ÞFFTgr
kvk;ÞGFFTgr
kvk;EFFTgr
hk;NFET
hk;ÞFET
hk;ÞGFET
hk;EFET
hk;NFETgr
hk;ÞFETgr
hk;ÞGFETgr
hk;EFETgr
hk;NFFT
hk;ÞFFT
hk;ÞGFFT
hk;EFFT
hk;NFFTgr
hk;ÞFFTgr
hk;ÞGFFTgr
hk;EFFTgr
so;GM-NH
so;GM-NH-ÞT
so;GM-FH-NT-1P-ET
so;GM-FH-NT-2P-ET
so;GM-FH-NT-3P-ET
so;GM-FH-NT-1P-FT
so;GM-FH-NT-2P-FT
so;GM-FH-NT-3P-FT
so;GM-FH-ÞT-1P-ET
so;GM-FH-ÞT-2P-ET
so;GM-FH-ÞT-3P-ET
so;GM-FH-ÞT-1P-FT
so;GM-FH-ÞT-2P-FT
so;GM-FH-ÞT-3P-FT
so;GM-VH-NT-1P-ET
so;GM-VH-NT-2P-ET
so;GM-VH-NT-3P-ET
so;GM-VH-NT-1P-FT
so;GM-VH-NT-2P-FT
so;GM-VH-NT-3P-FT
so;GM-VH-ÞT-1P-ET
so;GM-VH-ÞT-2P-ET
so;GM-VH-ÞT-3P-ET
so;GM-VH-ÞT-1P-FT
so;GM-VH-ÞT-2P-FT
so;GM-VH-ÞT-3P-FT
so;MM-NH
so;MM-FH-NT-1P-ET
so;MM-FH-NT-2P-ET
so;MM-FH-NT-3P-ET
so;MM-FH-NT-1P-FT
so;MM-FH-NT-2P-FT
so;MM-FH-NT-3P-FT
so;MM-FH-ÞT-1P-ET
so;MM-FH-ÞT-2P-ET
so;MM-FH-ÞT-3P-ET
so;MM-FH-ÞT-1P-FT
so;MM-FH-ÞT-2P-FT
so;MM-FH-ÞT-3P-FT
so;MM-VH-NT-1P-ET
so;MM-VH-NT-2P-ET
so;MM-VH-NT-3P-ET
