
# Viðliðir, notaðir til að setja rétta beygingu á viðskeyti/endingar.

# Þessir liðir eru merktir með utg=-1, sem veldur því
# að þeir þekkjast ekki sem sjálfstæð orð.

gresi;-1;hk;alm;gresi;NFET
gresi;-1;hk;alm;gresið;NFETgr
gresi;-1;hk;alm;gresi;ÞFET
gresi;-1;hk;alm;gresið;ÞFETgr
gresi;-1;hk;alm;gresi;ÞGFET
gresi;-1;hk;alm;gresinu;ÞGFETgr
gresi;-1;hk;alm;gresis;EFET
gresi;-1;hk;alm;gresisins;EFETgr
gresi;-1;hk;alm;gresi;NFFT
gresi;-1;hk;alm;gresin;NFFTgr
gresi;-1;hk;alm;gresi;ÞFFT
gresi;-1;hk;alm;gresin;ÞFFTgr
gresi;-1;hk;alm;gresum;ÞGFFT
gresi;-1;hk;alm;gresunum;ÞGFFTgr
gresi;-1;hk;alm;gresa;EFFT
gresi;-1;hk;alm;gresanna;EFFTgr

fygli;-1;hk;alm;fygli;NFET
fygli;-1;hk;alm;fyglið;NFETgr
fygli;-1;hk;alm;fygli;ÞFET
fygli;-1;hk;alm;fyglið;ÞFETgr
fygli;-1;hk;alm;fygli;ÞGFET
fygli;-1;hk;alm;fyglinu;ÞGFETgr
fygli;-1;hk;alm;fyglis;EFET
fygli;-1;hk;alm;fyglisins;EFETgr
fygli;-1;hk;alm;fygli;NFFT
fygli;-1;hk;alm;fyglin;NFFTgr
fygli;-1;hk;alm;fygli;ÞFFT
fygli;-1;hk;alm;fyglin;ÞFFTgr
fygli;-1;hk;alm;fyglum;ÞGFFT
fygli;-1;hk;alm;fyglunum;ÞGFFTgr
fygli;-1;hk;alm;fygla;EFFT
fygli;-1;hk;alm;fyglanna;EFFTgr

nætti;-1;hk;alm;nætti;NFET
nætti;-1;hk;alm;nættið;NFETgr
nætti;-1;hk;alm;nætti;ÞFET
nætti;-1;hk;alm;nættið;ÞFETgr
nætti;-1;hk;alm;nætti;ÞGFET
nætti;-1;hk;alm;nættinu;ÞGFETgr
nætti;-1;hk;alm;nættis;EFET
nætti;-1;hk;alm;nættisins;EFETgr
nætti;-1;hk;alm;nætti;NFFT
nætti;-1;hk;alm;nættin;NFFTgr
nætti;-1;hk;alm;nætti;ÞFFT
nætti;-1;hk;alm;nættin;ÞFFTgr
nætti;-1;hk;alm;nættum;ÞGFFT
nætti;-1;hk;alm;nættunum;ÞGFFTgr
nætti;-1;hk;alm;nætta;EFFT
nætti;-1;hk;alm;nættanna;EFFTgr

yrði;-1;hk;alm;yrði;NFET
yrði;-1;hk;alm;yrðið;NFETgr
yrði;-1;hk;alm;yrði;ÞFET
yrði;-1;hk;alm;yrðið;ÞFETgr
yrði;-1;hk;alm;yrði;ÞGFET
yrði;-1;hk;alm;yrðinu;ÞGFETgr
yrði;-1;hk;alm;yrðis;EFET
yrði;-1;hk;alm;yrðisins;EFETgr
yrði;-1;hk;alm;yrði;NFFT
yrði;-1;hk;alm;yrðin;NFFTgr
yrði;-1;hk;alm;yrði;ÞFFT
yrði;-1;hk;alm;yrðin;ÞFFTgr
yrði;-1;hk;alm;yrðum;ÞGFFT
yrði;-1;hk;alm;yrðunum;ÞGFFTgr
yrði;-1;hk;alm;yrða;EFFT
yrði;-1;hk;alm;yrðanna;EFFTgr

buri;-1;kk;alm;buri;NFET
buri;-1;kk;alm;burinn;NFETgr
buri;-1;kk;alm;bura;ÞFET
buri;-1;kk;alm;burann;ÞFETgr
buri;-1;kk;alm;bura;ÞGFET
buri;-1;kk;alm;buranum;ÞGFETgr
buri;-1;kk;alm;bura;EFET
buri;-1;kk;alm;burans;EFETgr
buri;-1;kk;alm;burar;NFFT
buri;-1;kk;alm;burarnir;NFFTgr
buri;-1;kk;alm;bura;ÞFFT
buri;-1;kk;alm;burana;ÞFFTgr
buri;-1;kk;alm;burum;ÞGFFT
buri;-1;kk;alm;burunum;ÞGFFTgr
buri;-1;kk;alm;bura;EFFT
buri;-1;kk;alm;buranna;EFFTgr

verji;-1;kk;alm;verji;NFET
verji;-1;kk;alm;verjinn;NFETgr
verji;-1;kk;alm;verja;ÞFET
verji;-1;kk;alm;verjann;ÞFETgr
verji;-1;kk;alm;verja;ÞGFET
verji;-1;kk;alm;verjanum;ÞGFETgr
verji;-1;kk;alm;verja;EFET
verji;-1;kk;alm;verjans;EFETgr
verji;-1;kk;alm;verjar;NFFT
verji;-1;kk;alm;verjarnir;NFFTgr
verji;-1;kk;alm;verja;ÞFFT
verji;-1;kk;alm;verjana;ÞFFTgr
verji;-1;kk;alm;verjum;ÞGFFT
verji;-1;kk;alm;verjunum;ÞGFFTgr
verji;-1;kk;alm;verja;EFFT
verji;-1;kk;alm;verjanna;EFFTgr

leiki;-1;kk;alm;leiki;NFET
leiki;-1;kk;alm;leikinn;NFETgr
leiki;-1;kk;alm;leika;ÞFET
leiki;-1;kk;alm;leikann;ÞFETgr
leiki;-1;kk;alm;leika;ÞGFET
leiki;-1;kk;alm;leikanum;ÞGFETgr
leiki;-1;kk;alm;leika;EFET
leiki;-1;kk;alm;leikans;EFETgr
leiki;-1;kk;alm;leikar;NFFT
leiki;-1;kk;alm;leikarnir;NFFTgr
leiki;-1;kk;alm;leika;ÞFFT
leiki;-1;kk;alm;leikana;ÞFFTgr
leiki;-1;kk;alm;leikum;ÞGFFT
leiki;-1;kk;alm;leikunum;ÞGFFTgr
leiki;-1;kk;alm;leika;EFFT
leiki;-1;kk;alm;leikanna;EFFTgr

fari;-1;kk;alm;fari;NFET
fari;-1;kk;alm;farinn;NFETgr
